show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in
s2,Movie,7:19,Jorge Michel Grau,"Demin Bichir, Hctor Bonilla, Oscar Serrano, Azalia Ortiz, Octavio Michel, Carmen Beato",Mexico,23-Dec-16,2016,TV-MA,93 min,"Dramas, International Movies"
s3,Movie,23:59,Gilbert Chan,"Tedd Chan, Stella Chung, Henley Hii, Lawrence Koh, Tommy Kuan, Josh Lai, Mark Lee, Susan Leong, Benjamin Lim",Singapore,20-Dec-18,2011,R,78 min,"Horror Movies, International Movies"
s4,Movie,9,Shane Acker,"Elijah Wood, John C. Reilly, Jennifer Connelly, Christopher Plummer, Crispin Glover, Martin Landau, Fred Tatasciore, Alan Oppenheimer, Tom Kane",United States,16-Nov-17,2009,PG-13,80 min,"Action & Adventure, Independent Movies, Sci-Fi & Fantasy"
s5,Movie,21,Robert Luketic,"Jim Sturgess, Kevin Spacey, Kate Bosworth, Aaron Yoo, Liza Lapira, Jacob Pitts, Laurence Fishburne, Jack McGee, Josh Gad, Sam Golzari, Helen Carey, Jack Gilpin",United States,1-Jan-20,2008,PG-13,123 min,Dramas
s6,TV Show,46,Serdar Akar,"Erdal Beikiolu, Yasemin Allen, Melis Birkan, Saygn Soysal, Berkan al, Metin Belgin, Aya Eren, Selin Uludoan, zay Fecht, Suna Yldzolu",Turkey,1-Jul-17,2016,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Mysteries"
s7,Movie,122,Yasir Al Yasiri,"Amina Khalil, Ahmed Dawood, Tarek Lotfy, Ahmed El Fishawy, Mahmoud Hijazi, Jihane Khalil, Asmaa Galal, Tara Emad",Egypt,1-Jun-20,2019,TV-MA,95 min,"Horror Movies, International Movies"
s8,Movie,187,Kevin Reynolds,"Samuel L. Jackson, John Heard, Kelly Rowan, Clifton Collins Jr., Tony Plana",United States,1-Nov-19,1997,R,119 min,Dramas
s9,Movie,706,Shravan Kumar,"Divya Dutta, Atul Kulkarni, Mohan Agashe, Anupam Shyam, Raayo S. Bakhirta, Yashvit Sancheti, Greeva Kansara, Archan Trivedi, Rajiv Pathak",India,1-Apr-19,2019,TV-14,118 min,"Horror Movies, International Movies"
s10,Movie,1920,Vikram Bhatt,"Rajneesh Duggal, Adah Sharma, Indraneil Sengupta, Anjori Alagh, Rajendranath Zutshi, Vipin Sharma, Amin Hajee, Shri Vallabh Vyas",India,15-Dec-17,2008,TV-MA,143 min,"Horror Movies, International Movies, Thrillers"
s11,Movie,1922,Zak Hilditch,"Thomas Jane, Molly Parker, Dylan Schmid, Kaitlyn Bernard, Bob Frazer, Brian d'Arcy James, Neal McDonough",United States,20-Oct-17,2017,TV-MA,103 min,"Dramas, Thrillers"
s14,Movie,"2,215",Nottapon Boonprakob,Artiwara Kongmalai,Thailand,1-Mar-19,2018,TV-MA,89 min,"Documentaries, International Movies, Sports Movies"
s15,Movie,3022,John Suits,"Omar Epps, Kate Walsh, Miranda Cosgrove, Angus Macfadyen, Jorja Fox, Enver Gjokaj, Haaz Sleiman",United States,19-Mar-20,2019,R,91 min,"Independent Movies, Sci-Fi & Fantasy, Thrillers"
s16,Movie,1-Oct,Kunle Afolayan,"Sadiq Daba, David Bailie, Kayode Olaiya, Kehinde Bankole, Fabian Adeoye Lojede, Nick Rhys, Kunle Afolayan, Colin David Reese, Ibrahim Shatta, Femi Adebayo, Kanayo O. Kanayo, Lawrence Stubbings, Ademola Adedoyin",Nigeria,1-Sep-19,2014,TV-14,149 min,"Dramas, International Movies, Thrillers"
s18,Movie,22-Jul,Paul Greengrass,"Anders Danielsen Lie, Jon igarden, Jonas Strand Gravli, Ola G. Furuseth, Maria Bock, Thorbjrn Harr, Jaden Smith","Norway, Iceland, United States",10-Oct-18,2018,R,144 min,"Dramas, Thrillers"
s19,Movie,15-Aug,Swapnaneel Jayakar,"Rahul Pethe, Mrunmayee Deshpande, Adinath Kothare, Vaibhav Mangale, Jaywant Wadkar, Satish Pulekar, Naina Apte, Uday Tikekar",India,29-Mar-19,2019,TV-14,124 min,"Comedies, Dramas, Independent Movies"
s21,Movie,Kuch Bheege Alfaaz,Onir,"Geetanjali Thapa, Zain Khan Durrani, Shray Rai Tiwari, Mona Ambegaonkar, Chandreyee Ghosh, Barun Chanda, Saheb Bhattacharjee, Shefali Chauhan",India,1-Sep-18,2018,TV-14,110 min,"Dramas, Independent Movies, International Movies"
s22,Movie,Goli Soda 2,Vijay Milton,"Samuthirakani, Bharath Seeni, Vinoth, Esakki Barath, Chemban Vinod Jose, Gautham Menon, Krisha Kurup, Subiksha",India,15-Sep-18,2018,TV-14,128 min,"Action & Adventure, Dramas, International Movies"
s23,Movie,Maj Rati Keteki,Santwana Bardoloi,"Adil Hussain, Shakil Imtiaz, Mahendra Rabha, Sulakshana Baruah, Rahul Gautam Sarma, Kulada Bhattacharjya, Indu Mohan Das, Moumita Talukdar",India,15-Sep-18,2017,TV-14,117 min,"Dramas, International Movies"
s24,Movie,Mayurakshi,Atanu Ghosh,"Soumitra Chatterjee, Prasenjit Chatterjee, Indrani Haldar, Sudipta Chakraborty, Suman Banerjee, Gargi Roychowdhury",India,15-Sep-18,2017,TV-14,100 min,"Dramas, International Movies"
s28,Movie,#Alive,Cho Il,"Yoo Ah-in, Park Shin-hye",South Korea,8-Sep-20,2020,TV-MA,99 min,"Horror Movies, International Movies, Thrillers"
s29,Movie,#AnneFrank - Parallel Stories,"Sabina Fedeli, Anna Migotto","Helen Mirren, Gengher Gatti",Italy,1-Jul-20,2019,TV-14,95 min,"Documentaries, International Movies"
s32,Movie,#FriendButMarried,Rako Prijanto,"Adipati Dolken, Vanesha Prescilla, Rendi Jhon, Beby Tsabina, Denira Wiraguna, Refal Hady, Diandra Agatha, Sari Nila",Indonesia,21-May-20,2018,TV-G,102 min,"Dramas, International Movies, Romantic Movies"
s33,Movie,#FriendButMarried 2,Rako Prijanto,"Adipati Dolken, Mawar de Jongh, Sari Nila, Vonny Cornellya, Clay Gribble, Ivan Leonardy, Sarah Sechan, Jourdy Pranata",Indonesia,28-Jun-20,2020,TV-G,104 min,"Dramas, International Movies, Romantic Movies"
s34,Movie,#realityhigh,Fernando Lebrija,"Nesta Cooper, Kate Walsh, John Michael Higgins, Keith Powers, Alicia Sanz, Jake Borelli, Kid Ink, Yousef Erakat, Rebekah Graf, Anne Winters, Peter Gilroy, Patrick Davis",United States,8-Sep-17,2017,TV-14,99 min,Comedies
s35,Movie,#Roxy,Michael Kennedy,"Jake Short, Sarah Fisher, Booboo Stewart, Danny Trejo, Pippa Mackie, Jake Smith, Patricia Zentilli, Carter Thicke",Canada,10-Apr-19,2018,TV-14,105 min,"Comedies, Romantic Movies"
s37,Movie,#Selfie,Cristina Jacob,"Flavia Hojda, Crina Semciuc, Olimpia Melinte, Levent Sali, Vlad Logigan, Alex Calin, Alina Chivulescu, Razvan Vasilescu",Romania,1-Jun-19,2014,TV-MA,125 min,"Comedies, Dramas, International Movies"
s38,Movie,#Selfie 69,Cristina Jacob,"Maia Morgenstern, Olimpia Melinte, Crina Semciuc, Flavia Hojda, Maria Dinulescu, Alex Calin, Vlad Logigan, Levent Sali, Silvia Busuioc, Mihaela Mihut",Romania,1-Jun-19,2016,TV-MA,119 min,"Comedies, Dramas, International Movies"
s40,Movie,"Ay, mi madre",Frank Ariza,"Estefana de los Santos, Secun de la Rosa, Terele Pvez, Mara Alfonsa Rosso, Mariola Fuentes, Alfonso Snchez, Paz Vega, Marta Torn, Concha Galn",Spain,19-Jul-19,2019,TV-MA,81 min,"Comedies, International Movies"
s41,Movie,arsi Pazar,Muharrem Glmez,"Erdem Yener, Ayhan Ta, Emin Olcay, Muharrem Glmez, Elif Nur Kerkk, Tark Papuuolu, Suzan Aksoy, Doa Konakolu, Esin Eden, Deniz zerman",Turkey,10-Mar-17,2015,TV-14,97 min,"Comedies, International Movies"
